tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
o__SB-34,c__Anaerolineae,order,o__SB-34,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SB-34,,,
g__SMB53,f__Clostridiaceae,genus,g__SMB53,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__SMB53,
s__parainfluenzae,g__Haemophilus,species,s__parainfluenzae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__parainfluenzae
g__Photobacterium,f__Vibrionaceae,genus,g__Photobacterium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Photobacterium,
o__CW040,c__TM7-3,order,o__CW040,Root,k__Bacteria,p__TM7,c__TM7-3,o__CW040,,,
f__F16,o__CW040,family,f__F16,Root,k__Bacteria,p__TM7,c__TM7-3,o__CW040,f__F16,,
g__Leptolyngbya,f__Pseudanabaenaceae,genus,g__Leptolyngbya,Root,k__Bacteria,p__Cyanobacteria,c__Synechococcophycideae,o__Pseudanabaenales,f__Pseudanabaenaceae,g__Leptolyngbya,
f__OCS155,o__Acidimicrobiales,family,f__OCS155,Root,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__OCS155,,
g__Erysipelothrix,f__Erysipelotrichaceae,genus,g__Erysipelothrix,Root,k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelothrix,
g__Trabulsiella,f__Enterobacteriaceae,genus,g__Trabulsiella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Trabulsiella,
g__heteroC45_4W,f__[Chthoniobacteraceae],genus,g__heteroC45_4W,Root,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__heteroC45_4W,
s__stutzeri,g__Pseudomonas,species,s__stutzeri,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__stutzeri
o__NKB15,c__Deltaproteobacteria,order,o__NKB15,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NKB15,,,
o__Ardenscatenales,c__Anaerolineae,order,o__Ardenscatenales,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenscatenales,,,
f__Ardenscatenaceae,o__Ardenscatenales,family,f__Ardenscatenaceae,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenscatenales,f__Ardenscatenaceae,,
g__Ardenscatena,f__Ardenscatenaceae,genus,g__Ardenscatena,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenscatenales,f__Ardenscatenaceae,g__Ardenscatena,
g__Stenotrophomonas,f__Xanthomonadaceae,genus,g__Stenotrophomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
g__Nostoc,f__Nostocaceae,genus,g__Nostoc,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,g__Nostoc,
f__NS11-12,o__Sphingobacteriales,family,f__NS11-12,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__NS11-12,,
g__Helcococcus,f__[Tissierellaceae],genus,g__Helcococcus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Helcococcus,
f__Halothiobacillaceae,o__Chromatiales,family,f__Halothiobacillaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Halothiobacillaceae,,
g__Thalassomonas,f__Colwelliaceae,genus,g__Thalassomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Thalassomonas,
f__Gordoniaceae,o__Actinomycetales,family,f__Gordoniaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Gordoniaceae,,
g__Gordonia,f__Gordoniaceae,genus,g__Gordonia,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Gordoniaceae,g__Gordonia,
p__[Parvarchaeota],k__Archaea,phylum,p__[Parvarchaeota],Root,k__Archaea,p__[Parvarchaeota],,,,,
c__[Parvarchaea],p__[Parvarchaeota],class,c__[Parvarchaea],Root,k__Archaea,p__[Parvarchaeota],c__[Parvarchaea],,,,
o__YLA114,c__[Parvarchaea],order,o__YLA114,Root,k__Archaea,p__[Parvarchaeota],c__[Parvarchaea],o__YLA114,,,
g__Cellvibrio,f__Alteromonadaceae,genus,g__Cellvibrio,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Cellvibrio,
g__Anaerococcus,f__[Tissierellaceae],genus,g__Anaerococcus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Anaerococcus,
g__Thermomonas,f__Xanthomonadaceae,genus,g__Thermomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Thermomonas,
o__[Entotheonellales],c__Deltaproteobacteria,order,o__[Entotheonellales],Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__[Entotheonellales],,,
c__BPC102,p__Acidobacteria,class,c__BPC102,Root,k__Bacteria,p__Acidobacteria,c__BPC102,,,,
o__MVS-40,c__BPC102,order,o__MVS-40,Root,k__Bacteria,p__Acidobacteria,c__BPC102,o__MVS-40,,,
g__Mucispirillum,f__Deferribacteraceae,genus,g__Mucispirillum,Root,k__Bacteria,p__Deferribacteres,c__Deferribacteres,o__Deferribacterales,f__Deferribacteraceae,g__Mucispirillum,
c__SM2F11,p__OD1,class,c__SM2F11,Root,k__Bacteria,p__OD1,c__SM2F11,,,,
g__Cryomorpha,f__Cryomorphaceae,genus,g__Cryomorpha,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Cryomorphaceae,g__Cryomorpha,
s__infantis,g__Streptococcus,species,s__infantis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__infantis
f__SJA-101,o__SBR1031,family,f__SJA-101,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__SJA-101,,
s__echinoides,g__Sphingomonas,species,s__echinoides,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__echinoides
c__Armatimonadia,p__Armatimonadetes,class,c__Armatimonadia,Root,k__Bacteria,p__Armatimonadetes,c__Armatimonadia,,,,
o__FW68,c__Armatimonadia,order,o__FW68,Root,k__Bacteria,p__Armatimonadetes,c__Armatimonadia,o__FW68,,,
o__[Roseiflexales],c__Chloroflexi,order,o__[Roseiflexales],Root,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__[Roseiflexales],,,
f__[Roseiflexaceae],o__[Roseiflexales],family,f__[Roseiflexaceae],Root,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__[Roseiflexales],f__[Roseiflexaceae],,
g__Roseiflexus,f__[Roseiflexaceae],genus,g__Roseiflexus,Root,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__[Roseiflexales],f__[Roseiflexaceae],g__Roseiflexus,
g__Asteroleplasma,f__Anaeroplasmataceae,genus,g__Asteroleplasma,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Anaeroplasmatales,f__Anaeroplasmataceae,g__Asteroleplasma,
o__Entomoplasmatales,c__Mollicutes,order,o__Entomoplasmatales,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,,,
f__Entomoplasmataceae,o__Entomoplasmatales,family,f__Entomoplasmataceae,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Entomoplasmataceae,,
g__Entomoplasma,f__Entomoplasmataceae,genus,g__Entomoplasma,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Entomoplasmataceae,g__Entomoplasma,
s__somnilux,g__Entomoplasma,species,s__somnilux,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Entomoplasmataceae,g__Entomoplasma,s__somnilux
g__Candidatus_Rhodoluna,f__Microbacteriaceae,genus,g__Candidatus_Rhodoluna,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Candidatus_Rhodoluna,
p__Caldiserica,k__Bacteria,phylum,p__Caldiserica,Root,k__Bacteria,p__Caldiserica,,,,,
c__Caldisericia,p__Caldiserica,class,c__Caldisericia,Root,k__Bacteria,p__Caldiserica,c__Caldisericia,,,,
o__Caldisericales,c__Caldisericia,order,o__Caldisericales,Root,k__Bacteria,p__Caldiserica,c__Caldisericia,o__Caldisericales,,,
f__Caldisericaceae,o__Caldisericales,family,f__Caldisericaceae,Root,k__Bacteria,p__Caldiserica,c__Caldisericia,o__Caldisericales,f__Caldisericaceae,,
g__Megamonas,f__Veillonellaceae,genus,g__Megamonas,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Megamonas,
g__Salinispora,f__Burkholderiaceae,genus,g__Salinispora,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Salinispora,
s__tropica,g__Salinispora,species,s__tropica,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Salinispora,s__tropica
g__Pedobacter,f__Sphingobacteriaceae,genus,g__Pedobacter,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,
f__Nocardiaceae,o__Actinomycetales,family,f__Nocardiaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,,
g__Nocardia,f__Nocardiaceae,genus,g__Nocardia,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Nocardia,
g__Anaeromyxobacter,f__Myxococcaceae,genus,g__Anaeromyxobacter,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__Anaeromyxobacter,
g__Fusibacter,f__[Acidaminobacteraceae],genus,g__Fusibacter,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Acidaminobacteraceae],g__Fusibacter,
p__CD12,k__Bacteria,phylum,p__CD12,Root,k__Bacteria,p__CD12,,,,,
g__Sphingobacterium,f__Sphingobacteriaceae,genus,g__Sphingobacterium,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,
s__multivorum,g__Sphingobacterium,species,s__multivorum,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__multivorum
g__Aquimarina,f__Flavobacteriaceae,genus,g__Aquimarina,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aquimarina,
f__Gemmatimonadaceae,o__Gemmatimonadales,family,f__Gemmatimonadaceae,Root,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,,
g__Gemmatimonas,f__Gemmatimonadaceae,genus,g__Gemmatimonas,Root,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,
f__Pseudonocardiaceae,o__Actinomycetales,family,f__Pseudonocardiaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,,
g__Amycolatopsis,f__Pseudonocardiaceae,genus,g__Amycolatopsis,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Amycolatopsis,
o__VC38,c__BSV26,order,o__VC38,Root,k__Bacteria,p__Chlorobi,c__BSV26,o__VC38,,,
g__Psychroflexus,f__Flavobacteriaceae,genus,g__Psychroflexus,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Psychroflexus,
c__Rubrobacteria,p__Actinobacteria,class,c__Rubrobacteria,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,,,,
o__Rubrobacterales,c__Rubrobacteria,order,o__Rubrobacterales,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,,,
f__Rubrobacteraceae,o__Rubrobacterales,family,f__Rubrobacteraceae,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae,,
s__plantarum,g__Lactobacillus,species,s__plantarum,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__plantarum
g__Blvii28,f__Rikenellaceae,genus,g__Blvii28,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28,
g__Anaerovorax,f__[Mogibacteriaceae],genus,g__Anaerovorax,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Mogibacteriaceae],g__Anaerovorax,
f__Erythrobacteraceae,o__Sphingomonadales,family,f__Erythrobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,,
g__Erythrobacter,f__Erythrobacteraceae,genus,g__Erythrobacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Erythrobacter,
o__NRA6,c__Methanomicrobia,order,o__NRA6,Root,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__NRA6,,,
g__Caloramator,f__Clostridiaceae,genus,g__Caloramator,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Caloramator,
f__[Barnesiellaceae],o__Bacteroidales,family,f__[Barnesiellaceae],Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Barnesiellaceae],,
g__HB118,f__[Thermodesulfovibrionaceae],genus,g__HB118,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__[Thermodesulfovibrionaceae],g__HB118,
g__Moraxella,f__Moraxellaceae,genus,g__Moraxella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,
g__Propionibacterium,f__Propionibacteriaceae,genus,g__Propionibacterium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Propionibacteriaceae,g__Propionibacterium,
o__UA01,c__Chloroplast,order,o__UA01,Root,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__UA01,,,
o__Deinococcales,c__Deinococci,order,o__Deinococcales,Root,k__Bacteria,p__[Thermi],c__Deinococci,o__Deinococcales,,,
f__Trueperaceae,o__Deinococcales,family,f__Trueperaceae,Root,k__Bacteria,p__[Thermi],c__Deinococci,o__Deinococcales,f__Trueperaceae,,
g__WCHB1-05,f__Anaerolinaceae,genus,g__WCHB1-05,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolinaceae,g__WCHB1-05,
s__weihenstephanensis,g__Bacillus,species,s__weihenstephanensis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__weihenstephanensis
g__Glaciecola,f__Alteromonadaceae,genus,g__Glaciecola,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Glaciecola,
g__Desulfobacca,f__Syntrophaceae,genus,g__Desulfobacca,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Desulfobacca,
c__Gemm-6,p__Gemmatimonadetes,class,c__Gemm-6,Root,k__Bacteria,p__Gemmatimonadetes,c__Gemm-6,,,,
g__Amaricoccus,f__Rhodobacteraceae,genus,g__Amaricoccus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Amaricoccus,
g__Nocardioides,f__Nocardioidaceae,genus,g__Nocardioides,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Nocardioides,
o__C20,c__BSV26,order,o__C20,Root,k__Bacteria,p__Chlorobi,c__BSV26,o__C20,,,
g__Myroides,f__Flavobacteriaceae,genus,g__Myroides,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Myroides,
f__0319-6A21,o__Nitrospirales,family,f__0319-6A21,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__0319-6A21,,
o__JG30-KF-AS9,c__Ktedonobacteria,order,o__JG30-KF-AS9,Root,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__JG30-KF-AS9,,,
o__GMD14H09,c__Deltaproteobacteria,order,o__GMD14H09,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__GMD14H09,,,
p__OP9,k__Bacteria,phylum,p__OP9,Root,k__Bacteria,p__OP9,,,,,
c__JS1,p__OP9,class,c__JS1,Root,k__Bacteria,p__OP9,c__JS1,,,,
o__BA021,c__JS1,order,o__BA021,Root,k__Bacteria,p__OP9,c__JS1,o__BA021,,,
g__Gillisia,f__Flavobacteriaceae,genus,g__Gillisia,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Gillisia,
s__sciuri,g__Staphylococcus,species,s__sciuri,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__sciuri
g__Succiniclasticum,f__Veillonellaceae,genus,g__Succiniclasticum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Succiniclasticum,
g__Rhodoferax,f__Comamonadaceae,genus,g__Rhodoferax,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhodoferax,
s__simulans,g__Corynebacterium,species,s__simulans,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__simulans
g__WAL_1855D,f__[Tissierellaceae],genus,g__WAL_1855D,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__WAL_1855D,
s__viridiflava,g__Pseudomonas,species,s__viridiflava,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__viridiflava
f__Chloroflexaceae,o__Chloroflexales,family,f__Chloroflexaceae,Root,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__Chloroflexales,f__Chloroflexaceae,,
g__Chloroflexus,f__Chloroflexaceae,genus,g__Chloroflexus,Root,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__Chloroflexales,f__Chloroflexaceae,g__Chloroflexus,
f__V1B07b93,o__Deferribacterales,family,f__V1B07b93,Root,k__Bacteria,p__Deferribacteres,c__Deferribacteres,o__Deferribacterales,f__V1B07b93,,
g__Leptothrix,f__Comamonadaceae,genus,g__Leptothrix,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Leptothrix,
s__fusca,g__Thermomonas,species,s__fusca,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Thermomonas,s__fusca
g__Vibrio,f__Vibrionaceae,genus,g__Vibrio,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,
s__shilonii,g__Vibrio,species,s__shilonii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__shilonii
g__Anaerofustis,f__Eubacteriaceae,genus,g__Anaerofustis,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Anaerofustis,
g__Sarcina,f__Clostridiaceae,genus,g__Sarcina,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Sarcina,
s__aurantia,g__Spirochaeta,species,s__aurantia,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Spirochaeta,s__aurantia
s__balearica,g__Pseudomonas,species,s__balearica,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__balearica
f__Halanaerobiaceae,o__Halanaerobiales,family,f__Halanaerobiaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Halanaerobiales,f__Halanaerobiaceae,,
g__Halanaerobium,f__Halanaerobiaceae,genus,g__Halanaerobium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Halanaerobiales,f__Halanaerobiaceae,g__Halanaerobium,
g__Jeotgalicoccus,f__Staphylococcaceae,genus,g__Jeotgalicoccus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Jeotgalicoccus,
o__Acidithiobacillales,c__Gammaproteobacteria,order,o__Acidithiobacillales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidithiobacillales,,,
f__Acidithiobacillaceae,o__Acidithiobacillales,family,f__Acidithiobacillaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidithiobacillales,f__Acidithiobacillaceae,,
g__Acidithiobacillus,f__Acidithiobacillaceae,genus,g__Acidithiobacillus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidithiobacillales,f__Acidithiobacillaceae,g__Acidithiobacillus,
o__CCM11a,c__Phycisphaerae,order,o__CCM11a,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__CCM11a,,,
f__Promicromonosporaceae,o__Actinomycetales,family,f__Promicromonosporaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Promicromonosporaceae,,
g__Geosporobacter_Thermotalea,f__Clostridiaceae,genus,g__Geosporobacter_Thermotalea,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Geosporobacter_Thermotalea,
g__Octadecabacter,f__Rhodobacteraceae,genus,g__Octadecabacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Octadecabacter,
g__HB2-32-21,f__Alteromonadaceae,genus,g__HB2-32-21,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__HB2-32-21,
o__Stigonematales,c__Nostocophycideae,order,o__Stigonematales,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Stigonematales,,,
f__Rivulariaceae,o__Stigonematales,family,f__Rivulariaceae,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Stigonematales,f__Rivulariaceae,,
g__Calothrix,f__Rivulariaceae,genus,g__Calothrix,Root,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Stigonematales,f__Rivulariaceae,g__Calothrix,
g__Rubrobacter,f__Rubrobacteraceae,genus,g__Rubrobacter,Root,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae,g__Rubrobacter,
c__SBYW_2184,p__GN02,class,c__SBYW_2184,Root,k__Bacteria,p__GN02,c__SBYW_2184,,,,
g__Lentibacillus,f__Bacillaceae,genus,g__Lentibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Lentibacillus,
c__TM1,p__Acidobacteria,class,c__TM1,Root,k__Bacteria,p__Acidobacteria,c__TM1,,,,
o__Tremblayales,c__Betaproteobacteria,order,o__Tremblayales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Tremblayales,,,
f__Tremblayaceae,o__Tremblayales,family,f__Tremblayaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Tremblayales,f__Tremblayaceae,,
g__Carsonella,f__Tremblayaceae,genus,g__Carsonella,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Tremblayales,f__Tremblayaceae,g__Carsonella,
s__ruddii,g__Carsonella,species,s__ruddii,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Tremblayales,f__Tremblayaceae,g__Carsonella,s__ruddii
g__Thermoanaerobacterium,f__Clostridiaceae,genus,g__Thermoanaerobacterium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Thermoanaerobacterium,
p__WS4,k__Bacteria,phylum,p__WS4,Root,k__Bacteria,p__WS4,,,,,
f__Methanocaldococcaceae,o__Methanococcales,family,f__Methanocaldococcaceae,Root,k__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,,
g__Methanocaldococcus,f__Methanocaldococcaceae,genus,g__Methanocaldococcus,Root,k__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,
g__Serratia,f__Enterobacteriaceae,genus,g__Serratia,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Serratia,
s__marcescens,g__Serratia,species,s__marcescens,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Serratia,s__marcescens
g__Candidatus_Brocadia,f__Brocadiaceae,genus,g__Candidatus_Brocadia,Root,k__Bacteria,p__Planctomycetes,c__[Brocadiae],o__Brocadiales,f__Brocadiaceae,g__Candidatus_Brocadia,
g__Bradyrhizobium,f__Bradyrhizobiaceae,genus,g__Bradyrhizobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,
f__[Kouleothrixaceae],o__[Roseiflexales],family,f__[Kouleothrixaceae],Root,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__[Roseiflexales],f__[Kouleothrixaceae],,
o__DS-100,c__[Chloracidobacteria],order,o__DS-100,Root,k__Bacteria,p__Acidobacteria,c__[Chloracidobacteria],o__DS-100,,,
s__flavefaciens,g__Ruminococcus,species,s__flavefaciens,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__flavefaciens
f__NS9,o__Flavobacteriales,family,f__NS9,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__NS9,,
